 -- OPENED at Wed, 11 Sep 2019 18:35:32 GMT Wallet: andreas
Block 529967 (Sun, 01 Jul 2018 00:13:18 GMT) TXs: 1745 Balance: 0.41458528
Block 534613 (Wed, 01 Aug 2018 00:05:47 GMT) TXs: 1794 Balance: 0.51250886
Block 539416 (Sat, 01 Sep 2018 00:10:42 GMT) TXs: 1824 Balance: 0.58885713
Block 543835 (Mon, 01 Oct 2018 00:04:32 GMT) TXs: 1835 Balance: 0.61014096
Block 548214 (Thu, 01 Nov 2018 00:18:31 GMT) TXs: 1861 Balance: 0.66935228
Block 552084 (Sat, 01 Dec 2018 00:03:02 GMT) TXs: 1885 Balance: 0.69388416
Block 556459 (Tue, 01 Jan 2019 00:03:10 GMT) TXs: 1902 Balance: 0.1485261
Block 560984 (Fri, 01 Feb 2019 00:12:10 GMT) TXs: 1922 Balance: 0.18485979
Block 565109 (Fri, 01 Mar 2019 00:00:47 GMT) TXs: 1938 Balance: 0.23716934
Block 569659 (Mon, 01 Apr 2019 00:14:10 GMT) TXs: 1948 Balance: 0.58423453
Block 573997 (Wed, 01 May 2019 00:22:57 GMT) TXs: 1957 Balance: 0.65144334
Block 578718 (Sat, 01 Jun 2019 00:14:00 GMT) TXs: 1972 Balance: 0.74115841
Block 583237 (Mon, 01 Jul 2019 00:02:22 GMT) TXs: 1980 Balance: 0.00059931
Block 588007 (Thu, 01 Aug 2019 00:10:13 GMT) TXs: 1989 Balance: 0.01299867
Block 592683 (Sun, 01 Sep 2019 00:10:53 GMT) TXs: 1998 Balance: 0.04358936
